Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,text,label,Emotion
Electronics,Sanken Rice Cooker 1 Liter SJ-203 Warna Random - Biru,Jakarta Barat,567000,4.8,702,321,5,"Dikirim dengan cepat untuk wilayar Jaksel, langsung dipakai den befungsi dengan baik. Recomended Seller",Positive,Love
Electronics,EMOJI ALARM CLOCK - Jam Weker Alarm Digital Lampu Tidur Unik Anak - Putih,Jakarta Barat,176000,4.9,199,80,5,"Barang sesuai deskripsi, recommended high quality product. Seller: packaging ok",Positive,Love
Electronics,CIJI QC 3.0 Smart Charger Quick Charge 4 USB port - Putih,Kota Tangerang,77000,4.8,2453,1336,5,"pesanan dah sampai, Barangnya original ??. Barangnya mulus. Warna sesuai pesanan. Proses pesanan cepat. Packaging rapi. Packaging aman ??. Bisa fast charging. kurir juga cepat, trims ya",Positive,Happy
Electronics,Oraimo Bundle 3pcs Kabel Data Micro USB Fast Charging Cable OCD-M29N,Jakarta Pusat,59900,4.9,5371,2426,5,"Pemrosesan serta pengiriman produk cepat, padahal bukan di daerah JABODETABEK. Produk diterima dengan sempurna, 3 buah micro USB Data Cable kualitas premium, dan ada bonus kartu perdana Smartfren. Trims",Positive,Happy
Electronics,VIVAN Kabel Data iPhone Lightning 1M Fast Charging 2.4A VXL100 - Biru,Jakarta Utara,79000,4.9,1816,701,5,Bagus kabelnya cepet buat ngecas jozz,Positive,Happy
Electronics,Kova Liko Kompor Listrik Mini Stove Moka Pot Seduh V60 Manual Brew - Hitam,Jakarta Barat,84900,4.8,2052,966,5,Barangnya original. Hemat listrik. Bahan kuat & awet. Mutu terjamin SNI. Penjualnya ramah banget. Packaging aman. Proses pesanan cepat. Gampang dipakai.,Positive,Happy
Electronics,Air Purifier Sanwoo 330,Jakarta Utara,2800000,5.0,1256,752,5,"trnyata tanggal merah tetap melayani pengiriman,dan benar lngsung dikirimkan by instant kurir...pelayanan dan respon nya juara...semoga awet dan fungsional",Positive,Happy
Electronics,TOLEDA HEADPHONE EXTRA BASS WITH MIC,Kab. Tangerang,159000,4.7,56300,16089,5,"Alhamdulillah, barang sesuai pesanan, suaranya jelas, ukurannya pas (bisa dipanjangkan), kabel tidak mudah putus (menggunakan kabel yg lebar)",Positive,Happy
Electronics,BARDI Smart LIGHT BULB RGB+WW 12W Wifi Wireless IoT - Home Automation,Jakarta Barat,199000,4.9,45400,19119,5,"Seller ramahhhhh banget, fast respons menjawab pertanyaan buyer, jadi buyer paham benar produk yg akan dibeli, pengiriman cepat, yg terpenting produknya bagus bgt, berfungsi normal, bisa atur semua warna termasuk rgb saat bermain dan putih saat bekerja, warna putih menyala terang, gampang connect ke wifi dan diatur di handphone, aplikasi mudah digunakan, memang ga salah pilih Bardi, yeayyyyy skrg kamar ada lampu rgb nya, suka bgt sama ambience nya",Positive,Love
Electronics,Kipas Angin Meja / Duduk NAGOYA (Desk Fan) 12in - NG12DF,Jakarta Barat,176000,4.9,2126,1139,5,Gampang dirakit. Desain elegan. Penjualnya ramah banget.,Positive,Love
Electronics,PowerBank ROBOT 10000mAh RT180 Dual Input Port Type C & Micro USB - Hijau,Jakarta Utara,250000,4.9,6785,3682,5,"Paket sudah diterima dalam kondisi aman, lengkap dan tanpa cacat. Packing rapi dan aman pake bublewrap. berfungsi normal. ori masih segel dan harga bersahabat. seller ok, recomanded",Positive,Happy
Electronics,BASEUS TRUE WIRELESS BLUETOOTH EARPHONE MINI EARBUDS TWS WM01 - Ungu,Jakarta Utara,569000,4.9,28507,16953,5,Barangnya original. Ada garansi resmi. Suaranya jernih. Desainnya modern. Nyaman dipakai lama. Koneksi bluetooth kuat. Material premium. Baterai tahan lama. Noise cancellation mantap. Kabelnya kuat. Bass-nya mantap. Suaranya gurih. Harganya terjangkau. Value for money. Koneksi ke Apple Lancar. Koneksi Android lancar. Suaranya bersih. Nggak kresek-kresek. Penjualnya ramah banget. Proses pesanan cepat.,Positive,Happy
Electronics,Set 2pcs LED Outdoor Solar Lampu Taman Tenaga Surya Waterproof IP65 - Putih,Kota Batam,90000,4.7,414,130,5,barang sudah diterima dan berfungsi dengan baik. terima kasih,Positive,Happy
Electronics,Lampu LED 212 Lampu Taman Lampu Tenaga Surya Sensor Gerak - 100 LED,Kab. Tangerang,69000,4.6,1817,559,5,Proses pesanan cepat. Respon penjualnya top. Packaging rapi.,Positive,Happy
Electronics,Bundling Speaker G2 Bluetooth Mega Audio Mg 2 & Holder Gurita HP,Kota Makassar,50000,4.6,2321,548,5,Proses pesanan cepat. Packaging aman ??. Packaging rapi.,Positive,Happy
Electronics,EMOJI ALARM CLOCK - Jam Weker Alarm Digital Lampu Tidur Unik Anak - Putih,Jakarta Barat,176000,4.9,199,80,4,"Barang dan pengiriman sesuai...Suara alarm kurang begitu kenceng. Alarm clock agak mengarah keatas, jd display pd jam hanya akan terlihat lbh jelas bila posisi mata Qta lbh tinggi dr posisi jam.",Positive,Happy
Electronics,Oraimo Bundle 3pcs Kabel Data Micro USB Fast Charging Cable OCD-M29N,Jakarta Pusat,59900,4.9,5371,2426,4,pengiriman cepat. product Aman. dicoba bisa charge. cm gak terlalu fast charging,Positive,Happy
Electronics,VIVAN Kabel Data iPhone Lightning 1M Fast Charging 2.4A VXL100 - Biru,Jakarta Utara,79000,4.9,1816,701,4,"Untuk barangnya sangat berkualitas, akan tetapi pengirimnya yang agak lama, terima kasih.",Positive,Happy
Electronics,Kova Liko Kompor Listrik Mini Stove Moka Pot Seduh V60 Manual Brew - Hitam,Jakarta Barat,84900,4.8,2052,966,4,"Klaim produk order ditanggapi dg cepat, dan diganti sesuai dg kualitas yg baik.",Positive,Happy
Electronics,TOLEDA HEADPHONE EXTRA BASS WITH MIC,Kab. Tangerang,159000,4.7,56300,16089,4,"Barang bagus, pengiriman juga cepat. Cuma minus di packaging nya kurang rapi (cuma pakai plastik. Tapi rekomen sih buat harga segini.",Positive,Happy
Electronics,BARDI Smart LIGHT BULB RGB+WW 12W Wifi Wireless IoT - Home Automation,Jakarta Barat,199000,4.9,45400,19119,4,"Mantab, produk sesuai deskripsi, material produk krg rapi, packing aman dan pengiriman cepat, thx seller",Positive,Happy
Electronics,Kipas Angin Meja / Duduk NAGOYA (Desk Fan) 12in - NG12DF,Jakarta Barat,176000,4.9,2126,1139,4,Model dan warna aku suka tp pemasangan sedikit ribet moga ja awet,Positive,Happy
Electronics,PowerBank ROBOT 10000mAh RT180 Dual Input Port Type C & Micro USB - Hijau,Jakarta Utara,250000,4.9,6785,3682,4,barang mantapppp original robot. harga juga lumayannnn okeee,Positive,Happy
Electronics,BASEUS TRUE WIRELESS BLUETOOTH EARPHONE MINI EARBUDS TWS WM01 - Ungu,Jakarta Utara,569000,4.9,28507,16953,4,"bagus, original, suara lumayan, semua touch control nya berfungsi dengan baik, batre lumayan awet.",Positive,Happy
Electronics,Set 2pcs LED Outdoor Solar Lampu Taman Tenaga Surya Waterproof IP65 - Putih,Kota Batam,90000,4.7,414,130,4,Barangnya original. Mutu terjamin SNI. Gampang dipakai. Hemat listrik. Modelnya keren. Hemat listrik,Positive,Happy
Electronics,Lampu LED 212 Lampu Taman Lampu Tenaga Surya Sensor Gerak - 100 LED,Kota Tangerang,69000,4.6,1817,559,4,"Barangnya berfungsi dengan baik, semoga baterainya awet ya",Positive,Happy
Electronics,Bundling Speaker G2 Bluetooth Mega Audio Mg 2 & Holder Gurita HP,Kota Makassar,50000,4.6,2321,548,4,Proses pesanan cepat. Packaging rapi.,Positive,Happy
Electronics,PINZY Portable Wireless Speaker T5 | Speaker Bluetooth mini,Jakarta Barat,90000,4.5,11529,3548,4,"sesuai dengan harga , lumayan lah lebih kencang dari speaker hp",Positive,Happy
Electronics,Headset Bluetooth I7S TWS Versi 5.0 Sport True Wireless Airpods i7s,Jakarta Pusat,32500,4.7,15608,3225,4,Harganya terjangkau. Koneksi Android lancar.,Positive,Happy
Electronics,Lampu LED Strip RGB 5050 IP44,Jakarta Barat,65000,4.7,6612,1010,4,"Produk cepat sampai dan sesuai deskripsi, tapi chat nya slow respon overall bagus",Positive,Happy
Electronics,Oraimo Bundle 3pcs Kabel Data Micro USB Fast Charging Cable OCD-M29N,Jakarta Pusat,59900,4.9,5371,2426,3,"kesel ama durasi pengirimannya doang, overall barangnya bagus kok",Positive,Happy
Electronics,VIVAN Kabel Data iPhone Lightning 1M Fast Charging 2.4A VXL100 - Biru,Jakarta Utara,79000,4.9,1816,701,3,Barang nya ok.. cuma proses kirim nya agak lama dan admin nya harus nya dichat dulu baru di proses barang nya.,Positive,Happy
Electronics,Kova Liko Kompor Listrik Mini Stove Moka Pot Seduh V60 Manual Brew - Hitam,Jakarta Barat,84900,4.8,2052,966,3,"barang sangat lama datang, dan ada sedikit penyot di bagian lampu indikator, tapi alhamdulillah berfungsi dgn baik",Positive,Happy
Electronics,Bundling Speaker G2 Bluetooth Mega Audio Mg 2 & Holder Gurita HP,Kota Makassar,50000,4.6,2321,548,3,suaranya jernih tp kurang keras dan casnya gk berfungsi tp gpp sy punya cas sndri Proses pesanan cepat. Packaging aman. Packaging rapi.,Positive,Happy
Electronics,PINZY Portable Wireless Speaker T5 | Speaker Bluetooth mini,Jakarta Barat,90000,4.5,11529,3548,3,Barangnya lumayan bagus hanya saja kurang bass nya,Positive,Happy
Electronics,Headset Bluetooth I7S TWS Versi 5.0 Sport True Wireless Airpods i7s,Jakarta Pusat,32500,4.7,15608,3225,3,kurang bass tapi Harganya terjangkau. Proses pesanan cepat.,Positive,Happy
Electronics,Lampu LED Strip RGB 5050 IP44,Jakarta Barat,65000,4.7,6612,1010,3,Solatip nya kurang merekat tapi lampunya topp,Positive,Happy
Electronics,Kipas Angin Meja / Duduk NAGOYA (Desk Fan) 12in - NG12DF,Jakarta Barat,176000,4.9,2126,1139,3,"Kipas ok, namun packingnya rusak, dosnya sudah terbuka.",Positive,Happy
Electronics,NO TOUCH BUTTON ACCESS DOOR LIFT TOUCHLESS INFRARED SENSOR 12V-24V - POLOS,Kab. Tangerang,45000,4.9,4045,475,3,ternyata kecil. belum pasang. semoga berfungsi baik.,Positive,Happy
Electronics,ezviz c6n 2mp wifi camera wireless garansi resmi Indonesia - C6N,Surabaya,379000,4.9,2163,677,3,"Ini pembelian saya yang kedua kali, pada saat saya terima kondisi segel sudah terbuka dan kartu garansi beda dengan 2 unit yang saya sebelumnya meskipun garansi resmi Indonesia dan unit IP Cameranya berbahasa Indonesia serta kondisi unit bisa dinyalakan. Saran saja sebelum barang dikirim disampaikan saja kondisinya supaya lebih transparan.",Positive,Happy
Electronics,azdome dash camera 1080p dual camera with parking mode - M17Front,Jakarta Barat,699999,4.9,3800,1825,3,"full hd dan 2k hasil video nya masih noisy gak gitu jelas pun, ada harga ada rupa, overall masih acceptable di range harga ini.",Positive,Happy
Electronics,Bardi Smart Home WIFI Window & Door Sensor - no hub required,Jakarta Barat,184000,4.9,7516,2494,3,Di aplikasinya gak bisa kelihatan kalo pintu lagi ke buka atau enggak.Tapi automationnya lumayan lengkapnlah,Positive,Happy
Electronics,Power Supply 10A / 12V Adaptor CCTV CENTRAL,Jakarta Barat,74600,4.9,3981,998,3,Berfungsi tapi sayangnya penyok,Positive,Happy
Electronics,"Mesin Absensi BioFinger AT-100, 500 Jari, USB Flash, EXCEL, Murah, Grs",Kota Surabaya,415000,4.9,148,75,5,Barang berfungsi dengan baik. Packaging aman ??. Barang Mudah Digunakan.,Positive,Happy
Electronics,"Mesin Absensi BioFinger AT-100, 500 Jari, USB Flash, EXCEL, Murah, Grs",Kota Surabaya,415000,4.9,148,75,5,"Oke mantap, pengiriman cepat, seller ramah fast response. Produk sesuai harapan. Thanks",Positive,Happy
Electronics,DORAHOMI Oven Listrik Low Watt Electric Open Kue alat panggang 12Liter - Putih Susu,Jakarta Utara,480000,4.9,224,97,5,Packaging rapi. Gampang dipakai. Desainnya elegan ?. Ada baret dikit tp masi ok lah overall,Positive,Happy
Electronics,DORAHOMI Oven Listrik Low Watt Electric Open Kue alat panggang 12Liter - Putih Susu,Jakarta Utara,480000,4.9,224,97,5,"fast respon, barang bagus panasnya juga bagus",Positive,Happy
Electronics,DORAHOMI Oven Listrik Low Watt Electric Open Kue alat panggang 12Liter - Putih Susu,Jakarta Utara,480000,4.9,224,97,5,"Alhamdulillah barang sudah diterima dg baik,respon penjualnya top deh.semoga makin sukses,Abang kurirnya ramah.terimakasih",Positive,Happy
Electronics,Xiaomi Mijia Robot Vacuum 1C Cleaner 2500pa Suction - Robot Vacuum 1C - Global,Jakarta Utara,2499000,4.9,536,205,5,Barangnya original ??. Gampang dipakai. Ada garansi resmi. Penjualnya ramah banget.,Positive,Happy
Electronics,Xiaomi Mijia Robot Vacuum 1C Cleaner 2500pa Suction - Robot Vacuum 1C - Global,Jakarta Utara,2499000,4.9,536,205,5,Barang bagus dan berfungsi dengan baik. Hasil pengepelan juga bersih. Pengiriman cepat.,Positive,Happy
Electronics,Ezviz C6N 2MP 1080p Smart Wifi Pan Tilt CCTV camera original garansi - C6N only,Kota Bandung,379000,5.0,1700,643,1,"segel rusak agak ragu sih dengan kualitas nya sempet komplain ,disertakan video unboxing saat paket datang. tp sama penjual direspons negative. yasudahlah. kapok beli disini",Negative,Fear
Electronics,Kulkas 1 Pintu Sanyo Aqua D190. Dark Silver. New Colour,Jakarta Barat,1640000,4.9,2301,1060,2,"Barang dateng pake kurir toko, di unboxing trnyt ad lecet/baret ampe besi ny keliatan sesuai dengan foto yg saya ambil. Dlm chat dgn owner tidak ad pertanggung jwban, chat sy cm di read dr smnjk kmrn mlm (6 april 2020 jam 8an mlm, smpe skg tgl 7 april 2020 jam 16.30an)",Negative,Anger
Electronics,Kulkas 1 Pintu Sanyo Aqua D190. Dark Silver. New Colour,Jakarta Barat,1640000,4.9,2301,1060,2,"Awalnya coba2 beli merk ini tapi ternyata kulkasnya ga bagus, pada saat proses pendinginan kompressornya suranya keras berisik sumpah ganggu banget",Negative,Anger
Electronics,BESI KAKI KULKAS-RODA KULKAS-TATAKAN KULKAS DAN MESIN CUCI,Jakarta Timur,72500,4.8,2129,997,2,Baru datang saya rakit Coba naikan kulkas baru sebentar kaki sudah patah al hasil tidak di pakai Untung kulkas tidak jatuh,Negative,Sadness
Electronics,BESI KAKI KULKAS-RODA KULKAS-TATAKAN KULKAS DAN MESIN CUCI,Jakarta Timur,72500,4.8,2129,997,1,Barangnya ringkih bgt. Saya baru pake udh penyok. Pdhl saya pake untuk mesin cuci 7 kg. Maap.,Negative,Sadness
Electronics,PRINTER KASIR/PPOB THERMAL 58MM PANDA PRJ-R58D ANDROID (USB+BLUETOOTH),Jakarta Barat,355000,4.9,2351,710,1,"Gak guna dibeli, aplikasi semua gabisa. Moka Cashlez semua gabisa. dulu beli apa juga ga connect. no recomended. harga mahal. support jelek",Negative,Fear
Electronics,IWARE ZJ-5809 MINI PORTABLE BLUETOOTH THERMAL PRINTER PPOB/KASIR 58MM,Jakarta Barat,320000,4.9,451,208,2,"dikirimnya lama, plus batrenya cuma 1500mah alias tdk sesuai pic.",Negative,Fear
Electronics,Paket Mesin Kasir Android Untuk Restoran,Jakarta Barat,2280000,4.9,990,426,3,Drawlernya ga bisa kebuka manual ataupun yg otomatis,Negative,Sadness
Electronics,Paket Mesin Kasir Android Untuk Restoran,Jakarta Barat,2280000,4.9,990,426,1,Lacinya sering macet tidak terbuka otomatis,Negative,Sadness
Electronics,Kit Mp3 Bluetooth,Kota Surabaya,31500,4.9,10884,1083,3,pakingnya kurang aman. di pakein dus tipis doang. pdahal elektronik dg barang riskan pecah kalo di tumpuk brng lain,Negative,Sadness
Electronics,Kit Mp3 Bluetooth,Kota Surabaya,31500,4.9,10884,1083,2,"tidak sesuai yang diharapkan, volume tidak besar kencang",Negative,Fear
Electronics,Module KIT MP3 Player Bluetooth Lengkap 1 Set,Jakarta Barat,30000,4.8,2893,878,1,"ad retak di bagian kasingnya yg ad logo bluetooth nya, untuk unit MP3 kit blom di tes mudah2han nyala, setelah di tes ternyata gak ad suaranya padahal kalo pake modul MP3 lain nyala?? jadi keluar biaya 2x niat hemat malah buntung",Negative,Sadness
Electronics,Module KIT MP3 Player Bluetooth Lengkap 1 Set,Jakarta Barat,30000,4.8,2893,878,3,"klo bisa di test dulu , minimal nyala .kondisi barang yg sampai ke saya tidak bisa nyala , ada komponen dioda yg gak terpasang di power 5v input.overall sih ok , bisa sy perbaiki dari pada retur.thanks",Negative,Fear
Electronics,Module KIT MP3 Player Bluetooth Lengkap 1 Set,Jakarta Barat,30000,4.8,2893,878,2,"packing kurang rapi, tidak aman,, dus penyok...player hancur.....",Negative,Sadness
Electronics,Rechargeable Mini Wireless Keyboard For Android Tv Box mini i10,Jakarta Utara,56000,4.9,1186,422,1,"tidak sesuai deskripsi, tidak sesuai gambar, ada bbrapa tombol yg tidak berfungsi, mau retur, mau ganti dg model lain yg ada backlight, ga masalah nambah biaya, tp respon seller biikin kecewa!",Negative,Fear
Electronics,Rechargeable Mini Wireless Keyboard For Android Tv Box mini i10,Jakarta Utara,56000,4.9,1186,422,1,Banyak tombol yg rusak... Batre rusak tidak bisa di charge.,Negative,Anger
Electronics,Xiaomi MiBox Mi Box S Mi Box 4 Internasional Android TV MDZ-22-AB - TanpaKeyboard,Kota Malang,945000,4.9,533,226,1,"Aplikasi banyak yang gak bisa kebuka. Cm bs youtube aja. Wirelles keyboard arah atas,back dan angka 3 tidak bisa. Kecewa tidak dilakukan pengecekan dlu sebelum dikirim. Niat mau nonton bein jadi tidak bisa. Remote mi boxnya jg tdk bisa.",Negative,Sadness
Electronics,Original RUIZU X50 8Gb BLUETOOTH Sport MP3 Player DAP TF FM Pedo V X02,Jakarta Barat,399000,4.8,618,263,2,"Tidak bisa upload atau transfer file dari komputer ke MP3 player, padalhan sudah gonti USB cable data yg terbaik dan sudah update USB drive nya. Ternyata harus beli external memory card, awalnya tertulis internal 4GB :(",Negative,Sadness
Electronics,4Connect Bluetooth Audio Receiver Dongle with MP3 Player and FM Radio,Kota Tangerang Selatan,69000,4.8,683,228,2,"pengiriman cepet, tapi qualitas barangnya jelek, kekuatan baterai nya cuma bertahan 30-40 menit, klo dicas ada suara berdesis.",Negative,Anger
Electronics,4Connect Bluetooth Audio Receiver Dongle with MP3 Player and FM Radio,Kota Tangerang Selatan,69000,4.8,683,228,2,"Suara noise seperti saat sedang mencari saluran radio dan agak meletup2 sangat mengganggu, padahal sedang berada pada mode bluetooth untuk mendengarkan musik. Bikin sakit telinga.",Negative,Sadness
Electronics,AUQOZ A8 Handy Mini Walkie Talkie - Radio HT New 888s by Pofung,Kota Tangerang Selatan,399000,4.9,2439,1107,3,"yg satu error mulu. jadinya repot. kadang hidupnya susah, kalauoun hidup, harusbpakai headset, sebab mic nya nyala mati",Negative,Sadness
Electronics,AUQOZ A8 Handy Mini Walkie Talkie - Radio HT New 888s by Pofung,Kota Tangerang Selatan,399000,4.9,2439,1107,1,"nggak recomended saya sdh tes wtnya katany jarak 1km, ini 100 meter saja sdh gangguan",Negative,Fear
Electronics,AUQOZ A8 Handy Mini Walkie Talkie - Radio HT New 888s by Pofung,Kota Tangerang Selatan,399000,4.9,2439,1107,1,"1 ga bisa nyala, 1 mati2 suaranya",Negative,Sadness
Electronics,Baterai Case AAA ke AA Adaptor Battery Konverter Adapter A3 to A2,Jakarta Barat,4500,4.9,748,169,1,"Seller 2x masalah dalam pengiriman barang. Pertama, saya beli 3 macam barang yg di kirim cuman 1 macam. Kedua, barang yg kurang sudah dikirim tetapi tidak seusai pesanan saya. Alhasil cuman 2 barang yg saya pesan yg nyampe. Ngasih resi jg tidak sesuai di pengajuan komplain, admin slow respon, official store ga menjamin deh",Negative,Sadness
